image_id,PredictionString
83caa8a85e03606cf57e49147d7ac569,0 0.2 1073 754 1318 976 3 0.8 785 1142 1789 1642
7550347fa2bb96c2354a3716dfa3a69c,3 0.0 768 1575 1908 2128 11 0.0 729 354 962 417 0 0.5 1232 737 1534 1040 5 0.6 1757 1139 2233 2176
74b23792db329cff5843e36efb8aa65a,10 0.0 139 2468 280 2648 11 0.1 166 2483 264 2645
94568a546be103177cb582d3e91cd2d8,11 0.1 1104 681 1324 748 11 0.1 685 712 886 776 0 0.7 979 1047 1211 1346 3 0.9 645 1616 1501 1922
6da36354fc904b63bc03eb3884e0c35c,11 0.0 1556 608 1739 1005 11 0.0 1703 747 1821 1569 11 0.0 1572 742 1695 796 8 0.0 0 1139 68 1866 11 0.0 1642 624 1769 1111 11 0.0 546 276 889 408 2 0.0 0 1135 58 1664 11 0.0 1564 733 1713 847 13 0.0 1490 703 1735 947 3 0.0 859 1318 1622 1559 11 0.0 1361 309 1502 408 11 0.0 1478 1114 1656 1292 11 0.1 1253 306 1480 378 13 0.1 1480 1111 1652 1290 9 0.1 1478 1135 1626 1285 13 0.1 1418 749 1687 849 11 0.1 1612 620 1805 1436 11 0.4 590 295 885 355 0 0.5 1082 543 1301 770 13 0.7 1530 747 1685 805
5b3620a56668010877cfafa9322e18b5,2 0.0 1401 452 1554 648 5 0.0 1814 659 2208 1557 11 0.0 1398 30 1633 248 11 0.0 819 3 1077 49 11 0.1 1433 33 1672 123 5 0.1 1565 215 2226 1680 2 0.1 1458 536 1524 618 0 0.4 1296 370 1585 645
5157d5c9b1f0004b29310652ea54e825,10 0.0 216 2064 275 2173 8 0.1 1534 1180 1578 1215 0 0.5 1308 846 1580 1150
74897408dcbd69ef7c76cbbbbeb722d6,13 0.0 1875 624 1947 765 11 0.0 1134 453 1371 504 3 0.8 1227 1578 2316 1929 0 0.8 1614 792 1878 1077
271290de7e7e4fb8aa1c31327f48f4b5,0 0.0 1080 623 1322 891 11 0.0 1173 224 1365 304 9 0.0 858 482 1173 1803 11 0.0 551 221 824 285 11 0.2 1496 253 1681 348 11 0.2 654 219 872 265 11 0.3 293 304 513 506
cdb9c0046cc8f9e32fcafc5517000525,7 0.0 660 1119 1173 1995 11 0.1 1134 522 1437 582 5 0.2 702 1014 1245 1959 0 0.3 1629 831 1857 1062 5 0.5 1938 1152 2490 2091
eb4c1f7a8fcd7ee076ae9f5eca8d05fc,11 0.0 759 558 867 591 11 0.0 1174 555 1377 674 11 0.1 1201 551 1425 615 11 0.1 738 541 935 598 3 0.5 787 1569 1642 1851 0 0.6 1096 869 1312 1139
366fb4e84d6940ea74267b32edbd1311,11 0.0 657 1722 747 1884 10 0.0 648 1701 738 1887 9 0.0 654 1593 1473 1926 10 0.0 654 1599 1389 1929 11 0.0 1968 522 2289 693 7 0.1 1299 939 1506 1362 11 0.1 1872 522 2124 576 11 0.3 1167 495 1425 558 11 0.4 1938 519 2211 618 3 0.6 1197 1458 2277 1734 0 0.9 1629 807 1953 1197
f5f77203f00504c40b45a65d23cd8948,11 0.0 1431 544 1734 612 11 0.0 592 558 778 684 11 0.0 1665 558 1858 695
