               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.088681,            0.063224,            0.060124,             0.90535,            0.078581,            0.061002,            0.018074,            0.074932,            0.037252,            0.042508,            0.070273,            0.003303,            0.003303
                   1,            0.069524,            0.053968,            0.037539,             0.51267,             0.19629,             0.13872,            0.051448,            0.067278,            0.033798,            0.033618,            0.040163,           0.0065269,           0.0065269
                   2,            0.064175,            0.050764,            0.031833,             0.34743,             0.21409,             0.14064,            0.052119,            0.063926,            0.042716,            0.031825,           0.0099437,           0.0096407,           0.0096407
                   3,            0.058982,            0.049234,            0.028933,             0.38432,             0.23565,              0.1851,            0.075978,            0.060225,            0.033354,            0.029539,            0.009505,            0.009505,            0.009505
                   4,            0.055826,            0.048706,            0.026934,               0.419,             0.23136,             0.21261,            0.089852,            0.056196,            0.032851,            0.028036,            0.009505,            0.009505,            0.009505
                   5,            0.053844,             0.04817,            0.025947,             0.35801,             0.27014,             0.21242,            0.093071,            0.056255,            0.035435,            0.026966,             0.00934,             0.00934,             0.00934
                   6,            0.052492,            0.047145,            0.025129,             0.38604,             0.24346,             0.20989,            0.091187,            0.055897,            0.032844,            0.028185,            0.009175,            0.009175,            0.009175
                   7,            0.051497,            0.047418,            0.024343,             0.32526,             0.28372,             0.23895,              0.1051,            0.054161,              0.0323,            0.026665,             0.00901,             0.00901,             0.00901
                   8,            0.049881,            0.047167,            0.023306,             0.34516,             0.23257,             0.17608,            0.070295,            0.059116,            0.035489,            0.030493,            0.008845,            0.008845,            0.008845
                   9,            0.049647,            0.046992,            0.022983,              0.3553,             0.29474,             0.24606,             0.10505,            0.053326,            0.032713,             0.02599,             0.00868,             0.00868,             0.00868
                  10,            0.048794,            0.044399,            0.022523,             0.39271,              0.3351,             0.30063,             0.12854,            0.051318,            0.030665,            0.024523,            0.008515,            0.008515,            0.008515
                  11,            0.048392,            0.045184,            0.022242,             0.38486,             0.31595,             0.28772,             0.12855,            0.050879,            0.030733,             0.02425,             0.00835,             0.00835,             0.00835
                  12,            0.048005,            0.045194,            0.022257,             0.38453,             0.28556,             0.28145,              0.1265,            0.051678,            0.031205,             0.02488,            0.008185,            0.008185,            0.008185
                  13,            0.046989,            0.044616,            0.021412,             0.39439,             0.32496,              0.3075,             0.13676,             0.05056,            0.030301,            0.024068,             0.00802,             0.00802,             0.00802
                  14,            0.046698,            0.044291,            0.021216,             0.43285,             0.32922,             0.30816,             0.13769,            0.049947,            0.030549,             0.02391,            0.007855,            0.007855,            0.007855
                  15,            0.046275,             0.04358,            0.020591,             0.39195,             0.30931,             0.29616,             0.13226,            0.050837,            0.031234,            0.025104,             0.00769,             0.00769,             0.00769
                  16,            0.045823,            0.043722,            0.020629,             0.40456,             0.31517,             0.30235,             0.13686,            0.050692,            0.030686,            0.023969,            0.007525,            0.007525,            0.007525
                  17,            0.045614,            0.043528,             0.02008,             0.39604,             0.31012,             0.29771,             0.13088,            0.051163,            0.032392,             0.02467,             0.00736,             0.00736,             0.00736
                  18,            0.044919,            0.043277,            0.020341,             0.40635,             0.34695,             0.31244,             0.14108,            0.049571,            0.031186,            0.023566,            0.007195,            0.007195,            0.007195
                  19,            0.044922,            0.042089,            0.019947,             0.41556,             0.32229,             0.31946,             0.14031,            0.050159,            0.031559,            0.023779,             0.00703,             0.00703,             0.00703
                  20,            0.044269,            0.042378,            0.019763,             0.41785,             0.32562,             0.31739,             0.14386,            0.049862,            0.031258,            0.023789,            0.006865,            0.006865,            0.006865
                  21,            0.043872,            0.042436,            0.019487,             0.40803,             0.33297,             0.31871,             0.14414,            0.049551,            0.030905,            0.023678,              0.0067,              0.0067,              0.0067
                  22,            0.043759,            0.040702,            0.019007,             0.40476,             0.33217,             0.31375,             0.14277,            0.049253,            0.031422,            0.023478,            0.006535,            0.006535,            0.006535
                  23,            0.043292,               0.041,            0.019315,             0.40427,             0.33675,             0.31802,             0.14631,            0.049157,            0.030521,            0.023315,             0.00637,             0.00637,             0.00637
                  24,            0.042875,            0.040189,            0.019128,             0.43084,             0.33304,             0.32458,             0.15033,            0.048954,            0.031759,            0.023707,            0.006205,            0.006205,            0.006205
                  25,            0.042484,            0.040287,            0.018834,             0.43692,             0.32561,             0.31875,             0.14681,            0.049509,            0.031352,             0.02391,             0.00604,             0.00604,             0.00604
                  26,            0.042223,            0.039995,            0.018035,              0.4117,             0.33366,             0.30732,             0.13832,            0.049793,            0.031692,            0.024149,            0.005875,            0.005875,            0.005875
                  27,            0.041919,            0.039896,             0.01844,             0.42714,             0.33826,             0.31921,             0.14484,            0.049494,            0.031245,            0.023701,             0.00571,             0.00571,             0.00571
                  28,             0.04161,            0.039176,            0.018304,             0.44985,             0.33554,             0.31653,             0.14412,            0.049922,             0.03296,            0.023942,            0.005545,            0.005545,            0.005545
