image_id,PredictionString
83caa8a85e03606cf57e49147d7ac569,3 0.0 795 1209 1758 1428 0 0.1 1071 751 1332 985 3 0.8 795 1131 1846 1711
7550347fa2bb96c2354a3716dfa3a69c,11 0.0 714 360 989 423 2 0.0 844 1784 935 1884 11 0.0 1419 318 1663 384 5 0.0 230 501 1016 2313 13 0.0 1965 1132 2085 1195 9 0.0 796 1321 1117 2117 9 0.0 1762 1136 2222 2202 5 0.0 1533 551 2251 2278 5 0.1 263 1082 647 2277 3 0.2 791 1629 1894 2084 5 0.4 1785 1126 2236 2218 0 0.6 1225 735 1532 1047
74b23792db329cff5843e36efb8aa65a,8 0.0 736 1149 788 1201 5 0.0 314 1119 909 2228 11 0.1 158 2475 265 2650 10 0.2 160 2479 266 2638
94568a546be103177cb582d3e91cd2d8,13 0.0 1223 1306 1416 1474 9 0.0 810 1035 1209 1451 9 0.0 845 1180 967 1293 11 0.1 685 719 862 782 8 0.1 840 1186 968 1294 0 0.6 931 1038 1214 1345 3 0.7 643 1594 1508 1917
6da36354fc904b63bc03eb3884e0c35c,11 0.0 1644 585 1761 935 9 0.0 995 1252 1079 1331 7 0.0 1505 1055 1694 1278 11 0.0 1349 306 1515 421 9 0.0 1508 1053 1693 1279 11 0.0 1529 739 1726 815 9 0.0 1002 1761 1088 1845 13 0.0 738 372 807 442 9 0.0 1315 336 1392 450 11 0.0 1453 1140 1621 1291 13 0.0 1501 1087 1697 1274 11 0.0 1666 715 1817 1291 8 0.0 996 1250 1075 1331 11 0.1 1728 865 1832 1450 7 0.1 1498 1148 1617 1277 11 0.1 602 292 865 341 3 0.1 859 1340 1627 1565 9 0.2 747 376 805 438 13 0.2 1504 1154 1618 1276 13 0.3 1414 735 1704 893 13 0.5 1527 745 1694 806 0 0.6 1081 543 1303 795
5b3620a56668010877cfafa9322e18b5,11 0.0 1403 29 1659 266 11 0.0 0 1874 132 2126 9 0.0 1059 269 1399 1231 10 0.0 209 1911 286 2029 13 0.0 766 504 884 619 5 0.0 297 420 911 1581 0 0.0 1067 348 1598 845 7 0.0 1758 370 2224 1569 9 0.0 1724 217 2219 1533 11 0.0 1421 36 1664 138 9 0.0 946 25 1439 1848 5 0.1 1686 262 2218 1609 9 0.1 887 1921 1491 2786 11 0.1 811 0 1084 50 0 0.3 1291 366 1588 688
5157d5c9b1f0004b29310652ea54e825,6 0.0 608 1542 1038 1894 10 0.1 215 2060 290 2173 0 0.4 1323 845 1579 1149
74897408dcbd69ef7c76cbbbbeb722d6,11 0.0 953 481 1166 696 11 0.0 1259 459 1390 503 11 0.0 1868 463 2054 584 0 0.8 1601 788 1879 1119 3 0.8 1214 1546 2296 1915
271290de7e7e4fb8aa1c31327f48f4b5,13 0.0 482 613 764 877 8 0.0 1345 778 1448 958 9 0.0 890 626 1182 1823 11 0.0 1485 249 1626 318 13 0.0 1277 1155 1370 1340 11 0.1 109 1952 203 2104 11 0.1 602 223 885 281 10 0.1 113 1964 203 2088 11 0.2 310 286 540 504 0 0.4 1077 633 1313 850
cdb9c0046cc8f9e32fcafc5517000525,11 0.0 1144 529 1388 582 6 0.0 733 1103 1300 1943 9 0.0 758 1235 1180 1887 5 0.0 2007 1299 2437 1996 5 0.1 751 1093 1271 1915 0 0.2 1623 832 1852 1071
eb4c1f7a8fcd7ee076ae9f5eca8d05fc,9 0.0 2 393 201 477 11 0.0 1 391 232 478 11 0.0 710 566 896 626 11 0.0 1269 546 1547 649 11 0.1 1195 554 1427 633 3 0.3 794 1560 1622 1863 0 0.7 1097 868 1316 1130
