image_id,PredictionString
83caa8a85e03606cf57e49147d7ac569,9 0.0 802 1179 1853 1778 0 0.0 1067 749 1336 960 3 0.6 799 1131 1759 1487
7550347fa2bb96c2354a3716dfa3a69c,14 1 0 0 1 1
74b23792db329cff5843e36efb8aa65a,14 1 0 0 1 1
94568a546be103177cb582d3e91cd2d8,14 1 0 0 1 1
6da36354fc904b63bc03eb3884e0c35c,11 0.0 1721 870 1830 1399 11 0.0 1184 306 1459 354 11 0.0 1541 732 1722 817 9 0.0 995 1251 1075 1332 9 0.0 743 363 808 436 11 0.0 1327 302 1500 407 11 0.0 557 287 859 384 13 0.1 1463 733 1696 853 11 0.1 626 289 861 340 3 0.2 831 1297 1632 1555 13 0.3 1512 1156 1613 1274 0 0.4 1071 542 1300 766 13 0.4 1530 749 1697 805
5b3620a56668010877cfafa9322e18b5,14 1 0 0 1 1
5157d5c9b1f0004b29310652ea54e825,14 1 0 0 1 1
74897408dcbd69ef7c76cbbbbeb722d6,11 0.0 1247 455 1376 489 13 0.0 1999 1633 2447 1875 11 0.0 1908 462 2099 580 13 0.0 2044 1646 2295 1759 3 0.7 1225 1526 2296 1910 0 0.7 1603 789 1875 1085 14 0.091 0 0 1 1
271290de7e7e4fb8aa1c31327f48f4b5,14 1 0 0 1 1
cdb9c0046cc8f9e32fcafc5517000525,14 1 0 0 1 1
eb4c1f7a8fcd7ee076ae9f5eca8d05fc,14 1 0 0 1 1
366fb4e84d6940ea74267b32edbd1311,13 0.0 668 1774 1104 1881 11 0.0 659 1735 745 1864 9 0.0 644 1578 1463 1888 11 0.0 2489 1640 2597 1866 7 0.0 1295 772 1537 1369 11 0.0 1112 488 1402 597 11 0.0 1804 527 2159 606 0 0.0 1315 812 1945 1268 9 0.0 1882 1572 2597 1930 10 0.0 649 1749 1461 1955 11 0.1 1910 518 2248 662 11 0.1 1183 493 1412 548 11 0.1 1918 524 2136 576 3 0.5 1206 1436 2287 1733 0 0.7 1612 804 1952 1159 14 0.941 0 0 1 1
f5f77203f00504c40b45a65d23cd8948,14 1 0 0 1 1
212dc39b6ba6941b034c2cd92cf97a8d,8 0.0 2119 998 2154 1033 11 0.0 1030 428 1169 530 3 0.1 1245 1598 2226 1958 0 0.2 1373 867 1953 1411 0 0.7 1645 863 1952 1248 14 0.806 0 0 1 1
a5eabc3dd2734b211c9b09205443a2ea,5 0.0 390 1003 842 1363 13 0.0 590 1009 830 1165 7 0.0 737 1227 1004 1559 5 0.0 465 1148 900 1544 11 0.0 409 801 602 968 9 0.0 1316 1623 1628 1900 11 0.0 381 326 1121 811 5 0.0 1648 1106 1976 1691 9 0.0 361 334 2139 1922 7 0.0 1321 1371 2028 1906 0 0.1 1242 670 1475 936 11 0.1 1572 368 1812 528 13 0.1 1751 1419 1997 1632 9 0.1 240 1494 888 1936 5 0.1 393 734 972 1473 11 0.1 1320 372 1531 662 11 0.1 1334 357 1802 575 13 0.1 399 793 886 1210 11 0.1 613 326 1083 469 5 0.1 406 802 846 1159 6 0.1 1409 1333 2023 1884 3 0.2 848 1325 1830 1729 13 0.2 1621 1376 2010 1779 13 0.3 406 822 766 1011 13 0.3 416 838 589 958 5 0.3 289 346 1057 1796 5 0.3 1563 1304 2022 1873 5 0.6 1398 476 2021 1893 14 0.62 0 0 1 1
c374e62c67f8e7a4d460e37d56bfa852,14 1 0 0 1 1
cb3b210015a31adab114493e1150eaf8,14 1 0 0 1 1
