image_id,PredictionString
83caa8a85e03606cf57e49147d7ac569,0 0.0 1062 743 1323 956 3 0.8 810 1136 1755 1575
7550347fa2bb96c2354a3716dfa3a69c,5 0.0 297 1499 654 2116 5 0.0 1695 931 2201 2067 13 0.0 1963 1016 2003 1076 13 0.0 436 1511 615 1596 11 0.0 714 363 902 423 5 0.0 1854 1427 2250 2273 3 0.0 773 1620 1894 2104 0 0.7 1239 737 1537 1088
74b23792db329cff5843e36efb8aa65a,11 0.0 2341 2413 2429 2572 10 0.0 2341 2413 2429 2572 10 0.0 163 2498 272 2657 11 0.0 806 487 1209 597 11 0.1 719 500 969 646 5 0.1 349 1182 882 2206 11 0.2 174 2486 272 2645
94568a546be103177cb582d3e91cd2d8,8 0.0 849 1177 958 1281 9 0.1 849 1177 958 1281 11 0.1 685 712 896 778 0 0.8 989 1044 1215 1357 3 0.8 646 1614 1519 1927
6da36354fc904b63bc03eb3884e0c35c,13 0.0 1510 1030 1719 1299 11 0.0 1783 1504 1847 1717 13 0.0 1357 705 1695 1253 11 0.2 594 288 875 353 13 0.5 1510 1123 1638 1281 13 0.5 1518 752 1687 817 3 0.5 867 1281 1630 1550 13 0.6 1430 743 1687 872 0 0.7 1092 548 1301 780
5b3620a56668010877cfafa9322e18b5,7 0.0 1022 0 1204 501 11 0.0 803 0 1122 65 11 0.0 1442 33 1661 152 11 0.2 1396 44 1652 305 0 0.3 1305 370 1588 653
5157d5c9b1f0004b29310652ea54e825,11 0.0 669 473 846 580 8 0.0 1544 1171 1583 1218 11 0.0 216 2034 285 2165 10 0.1 216 2034 285 2165 8 0.1 1612 958 1671 1005 2 0.2 1534 1171 1583 1218 0 0.3 1317 852 1573 1159
74897408dcbd69ef7c76cbbbbeb722d6,3 0.8 1212 1548 2316 1920 0 0.9 1620 780 1872 1092
271290de7e7e4fb8aa1c31327f48f4b5,11 0.1 299 321 484 496 10 0.1 113 1927 218 2103 11 0.1 113 1927 210 2103 0 0.1 1082 633 1316 847 11 0.2 654 224 832 263
cdb9c0046cc8f9e32fcafc5517000525,7 0.0 612 1452 1068 2088 11 0.0 1152 516 1416 576 5 0.0 1884 1020 2496 2124 7 0.1 1908 1248 2496 2100 6 0.1 1884 1164 2508 2100 0 0.1 1632 840 1860 1056
eb4c1f7a8fcd7ee076ae9f5eca8d05fc,11 0.0 1176 560 1348 674 11 0.0 740 541 927 598 11 0.0 1200 551 1418 617 3 0.6 794 1557 1651 1870 0 0.7 1090 873 1316 1139
366fb4e84d6940ea74267b32edbd1311,11 0.0 1944 516 2268 660 11 0.0 2484 1620 2604 1836 11 0.0 1860 528 2160 588 11 0.2 1188 492 1440 552 3 0.8 1200 1476 2292 1752 0 0.8 1632 804 1944 1152
f5f77203f00504c40b45a65d23cd8948,0 0.0 1252 904 1516 1202 11 0.1 1673 561 1839 675 11 0.1 587 561 783 698
212dc39b6ba6941b034c2cd92cf97a8d,0 0.0 1356 888 1932 1440 11 0.0 1092 420 1392 492 3 0.0 1248 1608 2220 1944 11 0.0 1920 432 2172 492 11 0.1 1032 432 1176 528 0 0.8 1644 864 1944 1224
a5eabc3dd2734b211c9b09205443a2ea,11 0.0 1424 377 1807 499 11 0.0 383 321 967 931 5 0.0 1633 609 2017 1617 11 0.0 484 321 1095 631 9 0.1 1679 576 1743 643 7 0.1 1688 1429 2008 1828 13 0.1 392 698 922 1473 13 0.1 1761 1440 2008 1651 5 0.1 1615 1396 2008 1817 8 0.2 1679 587 1743 643 13 0.2 402 809 776 997 11 0.2 1350 366 1624 532 5 0.2 356 687 985 1717 3 0.4 931 1340 1798 1706 11 0.4 684 332 1095 487 5 0.6 1442 1008 1989 1817 13 0.7 411 842 620 964
c374e62c67f8e7a4d460e37d56bfa852,8 0.0 1821 1649 1900 1714 8 0.0 1551 1564 1621 1639
cb3b210015a31adab114493e1150eaf8,3 0.1 802 1509 1488 1804
6cbf4295b5b72bc01ef6fd171ef7733e,9 0.0 1289 1433 2063 1844 13 0.0 1831 1405 1965 1471 10 0.0 1956 1586 2063 1749 8 0.0 204 1567 258 1615 9 0.0 1191 1089 1956 1701 9 0.0 107 1634 338 1940 9 0.0 0 10 1058 803 13 0.0 1503 1299 2036 1672 11 0.0 1325 1185 2072 1682 0 0.1 880 602 1440 984 3 0.1 800 1252 1858 1825 11 0.1 1876 1519 2080 1777 10 0.2 1751 1405 2072 1768 10 0.2 1885 1538 2080 1787 7 0.2 1627 1347 2045 1653 11 0.2 1680 1357 2036 1643 13 0.4 1707 1366 2036 1605 13 0.5 1796 1385 2018 1500
564141a415cfa32841bb2de146faa5eb,3 0.2 1137 1828 2074 2309 0 0.5 1477 1043 1723 1277
