image_id,PredictionString
83caa8a85e03606cf57e49147d7ac569,0 0.2 1071 754 1323 1001 3 0.9 774 1148 1764 1620
7550347fa2bb96c2354a3716dfa3a69c,0 0.8 1239 737 1532 1022
74b23792db329cff5843e36efb8aa65a,10 0.2 169 2486 256 2651 11 0.2 169 2492 256 2645
94568a546be103177cb582d3e91cd2d8,11 0.6 682 707 896 793 0 0.7 954 1020 1215 1391 3 0.9 646 1642 1503 1951
6da36354fc904b63bc03eb3884e0c35c,11 0.4 618 292 879 348 0 0.7 1092 548 1301 775 13 0.8 1534 752 1691 812
5b3620a56668010877cfafa9322e18b5,0 0.8 1296 370 1583 664
5157d5c9b1f0004b29310652ea54e825,0 0.2 1298 846 1578 1153
74897408dcbd69ef7c76cbbbbeb722d6,0 0.8 1608 792 1872 1092 3 0.8 1230 1590 2286 1926
271290de7e7e4fb8aa1c31327f48f4b5,11 0.2 630 224 908 282 10 0.3 121 1961 198 2093 11 0.3 121 1961 198 2088
cdb9c0046cc8f9e32fcafc5517000525,6 0.2 1914 1212 2478 2106 5 0.4 648 1050 1326 1974 6 0.4 666 1104 1326 1986
eb4c1f7a8fcd7ee076ae9f5eca8d05fc,0 0.4 1090 873 1312 1130 3 0.4 791 1571 1643 1860
366fb4e84d6940ea74267b32edbd1311,3 0.8 1194 1464 2292 1752 0 0.9 1626 810 1950 1134
f5f77203f00504c40b45a65d23cd8948,14 1 0 0 1 1
212dc39b6ba6941b034c2cd92cf97a8d,0 0.9 1662 864 1956 1254
a5eabc3dd2734b211c9b09205443a2ea,13 0.2 347 659 1004 1745 13 0.4 1588 1235 2026 1822 13 0.4 1684 1390 2021 1673 5 0.5 328 676 1017 1773 5 0.6 1542 1069 2021 1822 13 0.8 415 853 584 947 5 0.8 1474 504 2021 1872
c374e62c67f8e7a4d460e37d56bfa852,14 1 0 0 1 1
cb3b210015a31adab114493e1150eaf8,3 0.8 806 1542 1488 1808
6cbf4295b5b72bc01ef6fd171ef7733e,13 0.2 1600 1362 2080 1677 5 0.2 1609 1352 2080 1686 13 0.3 1796 1376 2036 1481 1 0.4 1591 1352 2080 1691 1 0.5 1787 1371 2040 1486
564141a415cfa32841bb2de146faa5eb,14 1 0 0 1 1
fc28fc9ede2c505c2125343c048124b6,0 0.8 1154 550 1405 787
2f775125346cd62232d8e835794941c0,13 0.2 1723 493 1863 621 13 0.3 485 503 898 1012 11 0.7 639 370 938 455 13 0.7 1673 498 1831 653
1fae839a73abec3f3d7436fa2bce4630,13 0.2 456 327 840 625 13 0.2 424 469 664 620 11 0.3 492 283 844 376 5 0.3 212 1089 744 1763 13 0.5 520 479 656 596 11 0.7 460 278 688 425 0 0.8 1076 664 1328 923
6f8320a9c444090bd55010537a9e7dcb,10 0.2 568 1709 939 1863 13 0.4 551 1703 939 1863 7 0.5 551 1709 933 1863 10 0.8 284 1549 1070 2275
da35978a37f990de5a0d68b1e9399e9e,3 0.2 1096 1570 2285 2203 0 0.7 1482 955 1893 1365
5b6707d336c733e0a8d4233bb08483c7,14 1 0 0 1 1
c06b82fd93dbc1cc113b779b69b1696a,13 0.3 682 1020 833 1281 0 0.8 1102 579 1297 793
bb5ffb34f5baa01ec1e47df249046609,0 0.3 1340 850 1602 1144
615be21de05d7049ddb1652520d7f528,3 0.2 721 1239 1842 1655 0 0.4 809 552 1376 874
c4311217936b89f9dbcc6fb57e00b40d,0 0.8 1323 789 1614 1075 3 0.8 897 1513 2031 1922
4317ccff1c5ab145abf05130c49402b0,0 0.7 1208 778 1487 1030 3 0.8 900 1356 2035 1734
39af4d0dbe33277af4520b6bdee5e1b2,8 0.2 593 1658 655 1727 10 0.2 232 2408 325 2548 11 0.3 237 2408 320 2548 0 0.8 1438 547 1758 948
90298b04a0c568ee2144c3431711b30e,0 0.5 1137 954 1359 1149 13 0.7 1581 1647 1803 1732 3 0.8 818 1467 1690 1770
b440e6708f332a8be9eeccc368b0df24,4 0.2 1510 1163 1930 1590 4 0.2 1642 1235 1862 1484 11 0.2 602 515 849 665 6 0.3 1451 1091 2026 1900 7 0.4 1455 1119 1985 1861 6 0.4 1606 1091 1930 1490 4 0.5 1624 1102 1916 1473 3 0.8 794 1523 1953 1917 0 0.8 1223 836 1497 1124
415fe8e39c0546ff191f8e33888f09d4,11 0.5 1137 252 1285 318
6febf1e7c57204153c4751a1bf6e39cc,14 1 0 0 1 1
a2a2bd5197fb23da123f610e00d8b08e,11 0.5 583 223 955 328
e541711f560cd700d7fdddd1d3dd98d4,11 0.3 1079 422 1355 508 11 0.3 506 413 748 470 0 0.8 919 698 1137 897
99ccfe1695993a5275d11aad4e2abb9c,14 1 0 0 1 1
3e86f7a0078799279f334db4074f109e,13 0.2 619 489 763 631 9 0.5 171 1785 230 1846 11 0.8 510 451 763 560 0 0.8 946 707 1200 959
218e819ed8c0fe25c92ee7f1d5b993c7,10 0.3 146 1690 321 1918 11 0.3 146 1695 317 1918 0 0.8 1037 684 1265 902
7db8d2571612fa51c3fea231524803cc,11 0.5 738 217 1140 297
9a7c3ac63356de02fc79d613fccee843,11 0.2 635 318 833 365 11 0.4 1106 323 1367 389 3 0.8 724 1206 1484 1547
7333af45f987aed199da0aed5dd59fd6,0 0.2 931 698 1551 1196 0 0.7 1204 703 1551 1075
6ee33e87bb9db350f4492c105b484d7b,2 0.2 1192 811 1354 1026
6a7a509436c9822e6481247f7df41779,0 0.8 897 548 1698 1018
4736524816401e7b31cfb0cac71d7a8e,0 0.8 1369 564 1632 840 3 0.9 992 1416 2034 1980
594fb89413087c080ddd2c97a3f6acf0,3 0.8 1170 1610 2385 1979 0 0.8 1571 748 1938 1220
1b2df8b1ebcd4cf26b828e96dd54304a,0 0.8 1076 649 1304 869 3 0.8 796 1108 1652 1387
232e100235a5357cf19c135892af7d83,11 0.7 1854 432 2250 528
76482dd89d7d8ea3650e9a0b8e01aba6,7 0.2 495 1514 833 1775 13 0.2 1511 1267 1838 1343 13 0.2 495 1523 830 1770 13 0.3 1702 1376 1862 1471 11 0.4 187 1785 277 1913 13 0.6 1745 1381 1865 1433 13 0.6 389 854 701 1044 13 0.7 1445 1272 1838 1395
f7c9af76d1b6223f1eef8f20b51f1513,11 0.2 1717 1832 1788 1951 0 0.8 974 650 1215 968
2b096376f5a0f62d10847e5d6f540a41,11 0.3 658 475 896 522 3 0.5 779 1500 1546 1766 11 0.5 557 475 880 584 11 0.5 1184 470 1472 541 0 0.9 1020 759 1242 1006
884f2b574d9600dd52f4a04c9aa3a230,3 0.2 868 1631 1787 2002 11 0.4 1980 2171 2070 2312 0 0.7 1251 743 1516 1035
ec73f422063ce59169c6c13d3c6227a7,0 0.8 1210 834 1455 1083
16df71f433fedfbc6c67cc338137d7e4,3 0.3 903 1956 2033 2495 11 0.4 831 458 1032 514 13 0.6 1739 941 1997 1300 11 0.6 1631 384 1976 514 0 0.9 1362 898 1811 1418
be794e647d0f6f47a4cd21964c6f96e5,11 0.2 674 633 833 672 0 0.8 950 938 1200 1174
56beeb20098b516474d17a9c36b23c7c,6 0.3 1499 1187 1741 1419 4 0.3 1499 1163 1772 1775 4 0.3 1503 1182 1729 1429 7 0.5 1499 1182 1784 1789 0 0.8 1141 992 1359 1210 3 0.8 806 1523 1679 1823
01431a2618c0ace741e4e270a37e20b9,0 0.8 1391 816 1647 1103 3 0.9 1058 1434 2030 1778
4d3acb5e51c6ab03ed5bc7537125ffc2,2 0.2 1580 555 1737 680 0 0.2 1318 659 1737 1230 8 0.5 1580 555 1732 670 0 0.7 952 642 1760 1181
a450a8bf5b6f81cdc6111bc26d512856,3 0.3 827 1620 2025 2066
670058d081c80065f0bc1087737093cb,14 1 0 0 1 1
9a8dfa3f9fb55a22a1fae7efeca1c326,7 0.5 273 935 775 1405
58baa9b0269a2987f5475a554033c4b1,3 0.5 1350 1500 2334 1860 0 0.8 1656 708 1896 954
c4232411727c2821c17c059a260427d9,14 1 0 0 1 1
3fc0d536d17610d6811d9c725999e25e,11 0.6 1363 214 1538 327 3 0.8 693 1239 1492 1547
4fba6d90e4c0141270b19446fbc97796,0 0.7 1488 791 2045 1207
56237d3770e31568eb965067d2d948af,0 0.8 1143 698 1444 1029 3 0.9 878 1288 1800 1682
f026b34e04a2bfc6327f2218cf47cd73,11 0.2 1713 378 2012 433 11 0.2 764 384 1207 489 11 0.6 712 384 1022 477
d75a718e64f556d92fada391278ac5f3,14 1 0 0 1 1
ac2ff5fbe1414b37f6c093af463a2e8c,14 1 0 0 1 1
739077a7a2add5c87ca97bda44c8bb95,14 1 0 0 1 1
33e9093de7567d13466efefda65aa682,14 1 0 0 1 1
5d74f8fd78068c30775dc2c98790e8b9,0 0.2 871 762 1702 1350 3 0.5 697 1678 1986 2142 0 0.8 1289 762 1717 1300
b29fdbcf453e70793197879d52dd9932,3 0.9 752 1011 1577 1338
7befd6661fd921f67f8d9cb84f98868f,14 1 0 0 1 1
056815f22ac3de9b9eb6fb963d4cfa5a,14 1 0 0 1 1
b8603c52ef3d03e6f9da6af8a089b455,4 0.2 312 807 876 1514 6 0.3 1472 1068 1745 1552 4 0.3 1507 1172 1741 1552 7 0.3 1519 1196 1741 1547 6 0.5 1410 835 1768 1538 7 0.5 327 745 884 1495 11 0.6 1192 370 1515 441
8b9c9d55bd03bf92f252c764bdc05bcf,0 0.8 1083 503 1305 740
3215a7d4dc49d93b54635b85df536b8f,14 1 0 0 1 1
8b44752d98acbc233b093260c0f2061d,14 1 0 0 1 1
