                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 2.0904,                 3.4167,                 2.0755,                0.30498,                0.16361,                0.12704,                0.06466,                 1.7639,                 2.4117,                 1.9478,               0.070136,              0.0033182,              0.0033182
                      1,                 1.6709,                 2.2463,                 1.6837,                0.29262,                0.17496,                0.13319,                0.06497,                 1.8699,                  2.335,                 1.8774,               0.039917,               0.006432,               0.006432
                      2,                 1.6563,                 2.1119,                 1.6547,                0.30837,                0.22569,                0.16312,                0.07964,                  1.785,                 2.3479,                 1.8374,              0.0094774,              0.0093258,              0.0093258
                      3,                 1.6961,                 2.0647,                 1.6642,                0.20873,                0.25732,                0.16528,                0.07683,                 1.7823,                 2.3528,                 1.8366,                0.00901,                0.00901,                0.00901
                      4,                 1.6692,                 2.0133,                 1.6629,                0.17232,                0.21576,                0.13777,                0.06708,                 1.8256,                 2.4802,                  1.921,                0.00901,                0.00901,                0.00901
                      5,                 1.6601,                 1.9632,                 1.6588,                0.30358,                0.24306,                0.21316,                0.10365,                 1.7142,                 2.0248,                 1.8104,                0.00868,                0.00868,                0.00868
                      6,                 1.6346,                 1.8965,                 1.6316,                0.30891,                 0.1792,                0.16084,                0.07798,                  1.839,                 2.3556,                 1.9186,                0.00835,                0.00835,                0.00835
                      7,                 1.6179,                 1.8541,                 1.6139,                0.30438,                0.27812,                0.23874,                0.11488,                 1.7002,                 1.9032,                 1.7601,                0.00802,                0.00802,                0.00802
                      8,                 1.5958,                 1.8228,                 1.5868,                0.28751,                0.28305,                0.24393,                0.11736,                 1.6658,                 1.8954,                 1.7345,                0.00769,                0.00769,                0.00769
                      9,                 1.5873,                 1.8042,                 1.5994,                0.34782,                 0.2812,                 0.2634,                0.13011,                 1.6723,                 1.8258,                  1.736,                0.00736,                0.00736,                0.00736
                     10,                 1.5688,                 1.7833,                 1.5752,                0.34872,                0.27223,                0.24964,                0.11923,                 1.6733,                 1.8558,                 1.7248,                0.00703,                0.00703,                0.00703
                     11,                 1.5488,                  1.746,                 1.5609,                0.30486,                0.24792,                0.21972,                0.10743,                 1.7095,                 2.0054,                 1.7563,                 0.0067,                 0.0067,                 0.0067
                     12,                 1.5344,                  1.705,                 1.5589,                0.34642,                0.28428,                0.26317,                0.12825,                 1.6429,                 1.8301,                 1.7481,                0.00637,                0.00637,                0.00637
                     13,                 1.5126,                 1.6908,                 1.5387,                0.34502,                0.32115,                0.27957,                 0.1402,                 1.6344,                 1.7677,                 1.7177,                0.00604,                0.00604,                0.00604
                     14,                 1.5131,                 1.6616,                 1.5298,                0.33983,                0.31458,                0.28306,                0.13884,                 1.6618,                 1.8229,                 1.7265,                0.00571,                0.00571,                0.00571
                     15,                 1.5046,                 1.6505,                 1.5271,                0.36417,                0.31753,                0.29172,                0.14447,                 1.6229,                 1.7394,                 1.7241,                0.00538,                0.00538,                0.00538
                     16,                 1.4973,                  1.634,                 1.5231,                0.40024,                0.31116,                0.30496,                0.14822,                   1.63,                 1.7376,                 1.6901,                0.00505,                0.00505,                0.00505
                     17,                  1.477,                 1.6047,                 1.4942,                0.38948,                 0.3151,                0.31136,                0.15334,                 1.6361,                 1.7462,                 1.6928,                0.00472,                0.00472,                0.00472
                     18,                 1.4691,                 1.5843,                 1.4858,                0.38171,                0.32253,                0.30181,                0.15115,                 1.6361,                 1.7478,                 1.6754,                0.00439,                0.00439,                0.00439
                     19,                 1.4497,                 1.5592,                 1.4773,                0.38613,                0.32246,                0.30054,                0.14829,                 1.6246,                 1.7672,                 1.7151,                0.00406,                0.00406,                0.00406
                     20,                 1.4666,                 1.5366,                  1.553,                0.34833,                0.28741,                0.26452,                0.13029,                  1.711,                 1.9533,                 1.7512,                0.00373,                0.00373,                0.00373
                     21,                 1.4501,                 1.4993,                 1.5422,                0.40222,                0.33612,                0.31024,                0.15553,                 1.6314,                 1.7382,                 1.7103,                 0.0034,                 0.0034,                 0.0034
                     22,                 1.4333,                 1.4777,                 1.5173,                0.39881,                0.33326,                 0.3157,                0.15624,                 1.6318,                 1.7215,                 1.6721,                0.00307,                0.00307,                0.00307
                     23,                 1.4175,                 1.4448,                 1.5013,                0.40347,                0.33853,                0.31575,                0.15579,                 1.6193,                 1.6976,                 1.6685,                0.00274,                0.00274,                0.00274
                     24,                 1.4009,                 1.4058,                 1.4859,                0.39773,                0.34195,                0.32033,                0.16421,                 1.6043,                 1.6706,                 1.6305,                0.00241,                0.00241,                0.00241
                     25,                 1.3898,                 1.3827,                 1.4767,                0.39747,                0.34162,                0.31699,                0.16208,                  1.608,                 1.6525,                 1.6482,                0.00208,                0.00208,                0.00208
                     26,                 1.3695,                 1.3496,                 1.4595,                0.41815,                0.32898,                0.31227,                0.15785,                  1.639,                 1.7111,                 1.6848,                0.00175,                0.00175,                0.00175
                     27,                 1.3478,                 1.3241,                 1.4512,                0.41851,                0.34461,                0.33376,                0.17082,                 1.6062,                 1.6499,                  1.653,                0.00142,                0.00142,                0.00142
                     28,                 1.3309,                 1.2917,                 1.4368,                0.43158,                0.34922,                0.33595,                0.16923,                 1.6069,                 1.6513,                 1.6472,                0.00109,                0.00109,                0.00109
                     29,                 1.3077,                 1.2578,                 1.4205,                0.39633,                0.34908,                0.31865,                0.16192,                 1.6246,                 1.6633,                 1.6753,                0.00076,                0.00076,                0.00076
