                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 2.1888,                 3.6281,                 2.1249,                0.29845,                0.15178,                0.10947,                0.05565,                 1.8389,                 2.5995,                 1.9145,               0.070273,               0.003303,               0.003303
                      1,                  1.659,                 2.2299,                 1.6662,                0.27755,                0.19045,                 0.1437,                0.06792,                 1.8794,                 2.8145,                 1.9584,               0.040163,              0.0065269,              0.0065269
                      2,                 1.6713,                 2.1409,                 1.6618,                0.18341,                0.19608,                0.11751,                0.05917,                 1.8577,                 3.1534,                 1.9029,              0.0099437,              0.0096407,              0.0096407
                      3,                 1.6952,                  2.094,                 1.6599,                0.13786,                0.19322,                0.09994,                0.04908,                 2.0233,                 3.3683,                 2.0527,               0.009505,               0.009505,               0.009505
                      4,                 1.6878,                 2.0611,                 1.6755,                0.16355,                 0.2059,                0.12577,                0.06287,                 1.8268,                 2.4561,                 1.9537,               0.009505,               0.009505,               0.009505
                      5,                 1.6689,                 1.9654,                 1.6477,                0.18014,                0.20414,                0.12826,                0.06511,                 1.8243,                 2.5347,                  1.919,                0.00934,                0.00934,                0.00934
                      6,                 1.6452,                 1.9482,                 1.6322,                0.22708,                0.27004,                0.16044,                 0.0812,                 1.7252,                 2.7533,                 1.8681,               0.009175,               0.009175,               0.009175
                      7,                 1.6223,                 1.8855,                 1.6237,                0.28673,                0.25205,                0.18845,                0.09356,                 1.7686,                 2.1285,                 1.8103,                0.00901,                0.00901,                0.00901
                      8,                 1.6151,                 1.8715,                 1.6168,                0.24616,                0.25567,                0.17719,                0.08793,                 1.8037,                 2.4121,                 1.8463,               0.008845,               0.008845,               0.008845
                      9,                 1.6057,                 1.8337,                 1.5958,                0.31094,                 0.2611,                0.21845,                0.10411,                 1.7123,                  2.053,                 1.8014,                0.00868,                0.00868,                0.00868
                     10,                 1.5917,                 1.8197,                 1.5981,                 0.2918,                0.29432,                 0.2429,                0.11591,                 1.6873,                 1.9239,                  1.746,               0.008515,               0.008515,               0.008515
                     11,                 1.5624,                 1.7872,                 1.5672,                0.31867,                0.28338,                 0.2363,                0.11681,                 1.6779,                 1.9002,                 1.7154,                0.00835,                0.00835,                0.00835
                     12,                  1.573,                 1.7862,                 1.5693,                0.33698,                0.24553,                0.22249,                0.10872,                 1.7494,                 2.0088,                 1.7542,               0.008185,               0.008185,               0.008185
                     13,                 1.5445,                 1.7467,                 1.5627,                 0.3056,                0.25896,                0.19851,                0.09752,                 1.7516,                 2.0907,                 1.8355,                0.00802,                0.00802,                0.00802
